"Fecha,Humedad,Temperatura"
"2023-03-01,63.2,22.1"
"2023-03-02,60.9,21.7"
"2023-03-03,62.6,20.8"
"2023-03-04,59.4,23.2"
"2023-03-05,64.5,21.5"
"2023-03-06,62.1,22.9"
"2023-03-07,59.8,21.2"
"2023-03-08,63.7,20.3"
"2023-03-09,61.3,22.2"
"2023-03-10,58.9,23.3"
"2023-03-11,63.8,21.1"
"2023-03-12,60.5,22.7"
"2023-03-13,62.2,20.9"
"2023-03-14,59.9,22.3"
"2023-03-15,57.7,21.6"
"2023-03-16,64.3,20.4"
"2023-03-17,61.6,22.8"
"2023-03-18,58.1,19.9"
"2023-03-19,62.9,21.4"
"2023-03-20,60.3,22.5"
"2023-03-21,63.6,23.1"
"2023-03-22,61.9,20.2"
"2023-03-23,59.4,22.6"
"2023-03-24,64.5,20.7"
"2023-03-25,62.8,21.9"
"2023-03-26,59.7,20.1"
"2023-03-27,63.3,22.3"
"2023-03-28,61.0,21.2"
"2023-03-29,58.6,23.0"
"2023-03-30,63.5,22.2"
"2023-03-31,60.2,21.4"
